business_name,industry,city,state_code,state_name,address,phone,has_website,website_url,website_confidence,lead_score,source,created_at,notes
Heritage Hudson Restaurant,Restaurant,Hudson,NY,New York,"7656 Oak Ave, Hudson, NY 82355",(716) 426-6734,True,,0.84,52,sweep_v25,2026-06-06T04:42:54.735185,Target for Elegant Food template demo
Red Mamaroneck Kitchen,Restaurant,Mamaroneck,NY,New York,"9486 Business Park Dr, Mamaroneck, NY 33612",(607) 247-6891,True,,0.81,49,sweep_v25,2026-06-06T04:42:54.735271,Target for Elegant Food template demo
Crown Rochester BBQ & Grill,Restaurant,Rochester,NY,New York,"3878 Sunset Blvd, Rochester, NY 76698",(917) 613-4540,True,,0.65,51,sweep_v25,2026-06-06T04:42:54.735321,Target for Elegant Food template demo
Express Buffalo Roofing Solutions,Roofing,Buffalo,NY,New York,"434 Church St, Buffalo, NY 81206",(516) 992-6425,False,,0.86,92,sweep_v25,2026-06-06T04:42:54.735366,Target for Modern Trade template demo
North Star Air & Heating,HVAC,Flagstaff,AZ,Arizona,"6936 Elm St, Flagstaff, AZ 94243",(928) 431-7229,False,,0.92,94,sweep_v25,2026-06-06T04:42:54.735413,Target for Modern Trade template demo
New Kingston HVAC,HVAC,Kingston,NY,New York,"4530 Adams St, Kingston, NY 60648",(315) 893-5559,True,,0.81,57,sweep_v25,2026-06-06T04:42:54.735456,Target for Modern Trade template demo
Rescue Missouri City Roofers,Roofing,Missouri City,TX,Texas,"3039 Business Park Dr, Missouri City, TX 77988",(713) 606-2019,True,,0.87,57,sweep_v25,2026-06-06T04:42:54.735500,Target for Modern Trade template demo
Sunset Grille,Restaurant,Farmers Branch,TX,Texas,"1070 Madison Ave, Farmers Branch, TX 44745",(940) 476-7876,True,,0.66,42,sweep_v25,2026-06-06T04:42:54.735542,Target for Elegant Food template demo
Seven Ithaca Deli & Market,Restaurant,Ithaca,NY,New York,"439 Washington Blvd, Ithaca, NY 10579",(631) 366-4314,True,,0.73,52,sweep_v25,2026-06-06T04:42:54.735585,Target for Elegant Food template demo
Union Yuma Steakhouse,Restaurant,Yuma,AZ,Arizona,"2677 1st Ave, Yuma, AZ 44006",(480) 470-2816,True,,0.7,46,sweep_v25,2026-06-06T04:42:54.735627,Target for Elegant Food template demo
Mesa Lewisville Bakery & Cafe,Restaurant,Lewisville,TX,Texas,"2068 3rd St, Lewisville, TX 24910",(713) 327-5414,True,,0.82,40,sweep_v25,2026-06-06T04:42:54.735670,Target for Elegant Food template demo
Secure Lancaster Metal Roofing,Roofing,Lancaster,TX,Texas,"8698 Main St, Lancaster, TX 97301",(682) 732-8729,True,,0.89,50,sweep_v25,2026-06-06T04:42:54.735713,Target for Modern Trade template demo
Queen's Lackawanna Bakery & Cafe,Restaurant,Lackawanna,NY,New York,"8467 Broadway, Lackawanna, NY 92651",(347) 641-7420,False,,0.77,91,sweep_v25,2026-06-06T04:42:54.735756,Target for Elegant Food template demo
Elite Glen Cove Air & Heating,HVAC,Glen Cove,NY,New York,"2630 3rd St, Glen Cove, NY 71464",(917) 537-9899,True,,0.75,44,sweep_v25,2026-06-06T04:42:54.735798,Target for Modern Trade template demo
Integrity Exteriors of Port Arthur,Roofing,Port Arthur,TX,Texas,"8537 Elm St, Port Arthur, TX 68496",(830) 308-9443,False,,0.93,93,sweep_v25,2026-06-06T04:42:54.735843,Target for Modern Trade template demo
