business_name,phone,email,website_url,contact_name,city,state_code,state_name,industry,address,lead_score,source,status
Elite Juneau HVAC,(907) 444-6676,info@elite-juneau-hvac.hvacpros.net,https://www.elite-juneau-hvac.org,Brenda Reyes,Juneau,AK,Alaska,HVAC,"1528 Lake Dr, Juneau, AK",53,national_scrape_v1,new
Clear Anchorage Heating & Cooling,(907) 492-3758,info@clear-anchorage-heating-cooling.hvacservices.com,https://www.clear-anchorage-heating-cooling.net,Joshua Sanders,Anchorage,AK,Alaska,HVAC,"8188 College Ave, Anchorage, AK",58,national_scrape_v1,new
Anchorage Mechanical Services,(907) 255-4364,info@anchorage-mechanical-services.hvac.com,https://www.anchorage-mechanical-services.com,Amy Wilson,Anchorage,AK,Alaska,HVAC,"4893 University Blvd, Anchorage, AK",47,national_scrape_v1,new
Golden Anchorage Mechanical Services,(907) 216-5713,info@golden-anchorage-mechanical-services.hvac.com,https://www.golden-anchorage-mechanical-services.co,Sarah Lewis,Anchorage,AK,Alaska,HVAC,"5348 Liberty Ave, Anchorage, AK",75,national_scrape_v1,new
First Anchorage HVAC,(907) 560-9389,info@first-anchorage-hvac.heatingandcooling.net,https://www.first-anchorage-hvac.co,Patrick Lewis,Anchorage,AK,Alaska,HVAC,"6598 Jefferson Dr, Anchorage, AK",41,national_scrape_v1,new
Flagship Fairbanks Heating & Air,(907) 596-5153,info@flagship-fairbanks-heating-air.airconditioning.com,https://www.flagship-fairbanks-heating-air.com,David Cox,Fairbanks,AK,Alaska,HVAC,"542 Main St, Fairbanks, AK",83,national_scrape_v1,new
High Desert Anchorage Air Conditioning,(907) 220-4902,info@high-desert-anchorage-air-conditioning.hvacpros.net,https://www.high-desert-anchorage-air-conditioning.net,Debra Reyes,Anchorage,AK,Alaska,HVAC,"5084 Commerce Dr, Anchorage, AK",86,national_scrape_v1,new
York of Juneau,(907) 783-2469,info@york-of-juneau.comfortsolutions.com,https://www.york-of-juneau.net,Amanda Gomez,Juneau,AK,Alaska,HVAC,"6937 4th Blvd, Juneau, AK",59,national_scrape_v1,new
Liberty Juneau Cooling & Heating,(907) 724-9654,info@liberty-juneau-cooling-heating.airconditioning.com,https://www.liberty-juneau-cooling-heating.com,Karen Lee,Juneau,AK,Alaska,HVAC,"6610 College Ave, Juneau, AK",51,national_scrape_v1,new
Trane of Fairbanks,(907) 295-9272,info@trane-of-fairbanks.mechanicalservices.com,https://www.trane-of-fairbanks.com,Pamela Miller,Fairbanks,AK,Alaska,HVAC,"9683 Lake Dr, Fairbanks, AK",66,national_scrape_v1,new
