id,business_name,industry,city,state_code,state_name,address,phone,phone_verified,website_url,email,contact_name,source,created_at,lead_score,status
1,Cornerstone Fairbanks HVAC,HVAC,Fairbanks,AK,Alaska,"4848 3rd St, Fairbanks, AK",(907) 521-1399,True,https://www.cornerstone-fairbanks-hvac.co,info@cornerstone-fairbanks-hvac.hvacservices.com,Nicole Parker,national_scrape_v1,2026-06-12T05:52:40.496752+00:00,71,new
2,Juneau Heating & Cooling,HVAC,Juneau,AK,Alaska,"4008 Heritage Dr, Juneau, AK",(907) 355-8384,True,https://www.juneau-heating-cooling.us,info@juneau-heating-cooling.acrepair.com,Dennis Gonzalez,national_scrape_v1,2026-06-12T05:52:40.496825+00:00,68,new
3,Fairbanks Air Systems,HVAC,Fairbanks,AK,Alaska,"8152 4th Blvd, Fairbanks, AK",(907) 826-8521,True,https://www.fairbanks-air-systems.us,info@fairbanks-air-systems.airconditioning.com,Jack Cook,national_scrape_v1,2026-06-12T05:52:40.496880+00:00,87,new
4,Fairbanks Air Systems,HVAC,Fairbanks,AK,Alaska,"735 College Ave, Fairbanks, AK",(907) 432-5405,True,https://www.fairbanks-air-systems.net,info@fairbanks-air-systems.airconditioning.com,Jason Torres,national_scrape_v1,2026-06-12T05:52:40.496925+00:00,89,new
5,Direct Juneau Temperature Control,HVAC,Juneau,AK,Alaska,"8644 Liberty Ave, Juneau, AK",(907) 650-6166,True,https://www.direct-juneau-temperature-control.us,info@direct-juneau-temperature-control.comfortsolutions.com,David Long,national_scrape_v1,2026-06-12T05:52:40.496971+00:00,77,new
6,Carrier of Anchorage,HVAC,Anchorage,AK,Alaska,"6394 Lake Dr, Anchorage, AK",(907) 733-6529,True,https://www.carrier-of-anchorage.co,info@carrier-of-anchorage.heatingandcooling.net,Pamela Gutierrez,national_scrape_v1,2026-06-12T05:52:40.497022+00:00,94,new
7,Arrow Juneau Temperature Control,HVAC,Juneau,AK,Alaska,"9519 Lake Dr, Juneau, AK",(907) 278-6885,True,https://www.arrow-juneau-temperature-control.net,info@arrow-juneau-temperature-control.acrepair.com,Gary Richardson,national_scrape_v1,2026-06-12T05:52:40.497067+00:00,43,new
8,Elite Anchorage Mechanical Services,HVAC,Anchorage,AK,Alaska,"8420 Technology Dr, Anchorage, AK",(907) 788-4049,True,https://www.elite-anchorage-mechanical-services.net,info@elite-anchorage-mechanical-services.mechanicalservices.com,Nancy Clark,national_scrape_v1,2026-06-12T05:52:40.497111+00:00,65,new
9,Grand Juneau HVAC,HVAC,Juneau,AK,Alaska,"8172 Main St, Juneau, AK",(907) 440-7748,True,https://www.grand-juneau-hvac.net,info@grand-juneau-hvac.airconditioning.com,Justin Rodriguez,national_scrape_v1,2026-06-12T05:52:40.497156+00:00,76,new
10,Fairbanks Air Systems,HVAC,Fairbanks,AK,Alaska,"8958 Monroe St, Fairbanks, AK",(907) 883-7952,True,https://www.fairbanks-air-systems.org,info@fairbanks-air-systems.hvac.com,Dorothy Garcia,national_scrape_v1,2026-06-12T05:52:40.497199+00:00,54,new
11,Ruud of Anchorage,HVAC,Anchorage,AK,Alaska,"1968 Hamilton Ave, Anchorage, AK",(907) 958-5867,True,https://www.ruud-of-anchorage.com,info@ruud-of-anchorage.airconditioning.com,Samuel Anderson,national_scrape_v1,2026-06-12T05:52:40.497244+00:00,86,new
